STATE,ALL_2015,ALL_2007,ALL_1991,NONHISPWHITE_2015,NONHISPWHITE_2007,NONHISPWHITE_1991,NONHISPBLACK_2015,NONHISPBLACK_2007,NONHISPBLACK_1991,HISP_2015,HISP_2007,HISP_1991
Alabama,30.1,52.1,73.6,26.3,41.1,56.7,35.8,64.9,109.3,51.3,145.5,47.5
Alaska,29.3,42.9,66,18,27.3,51.6,25.1,56.3,89.2,31.3,57.2,82.6
Arizona,26.3,59.6,79.7,15.1,30.1,53.4,26.7,55.77,136.6,37,96.8,125.8
Arkansas,38,60.1,79.5,33.6,50.7,66.8,50.8,85.2,125.5,45.4,96.2,69.1
California,19,39.6,73.8,8.6,16.7,42.9,22.7,44.4,104.7,28.5,64.1,118.9
Colorado,19.3,41.6,58.3,12,22.3,40.3,24.9,56.6,126.7,34.9,92.6,117.9
Connecticut,10.1,23,40.1,3.9,10.1,20.3,16.3,42,103,29,66.6,129.2
Deleware,18.1,39.2,60.4,11.7,24.2,36.9,25.5,59.7,137.6,36.2,94.1,114.9
District of Columbia,25.6,50.4,109.6,,4.5,6,37,65.6,150.8,49.1,107.7,106
Florida,20.8,43,67.9,16.9,30.4,50.6,30.3,62.8,132.5,21.8,54.8,58.3
Georgia,25.6,53.4,76,20.4,39,55.1,30.5,63.5,117.7,39.5,116.3,81
Hawaii,20.6,38.7,59.2,16.8,32.6,37.7,,24.2,72.2,31.9,86.1,114.2
Idaho,22.5,39.9,53.9,18.9,32.1,48.9,,,,39.2,91,122.2
Illinois,21.1,40.2,64.5,12.8,21.2,36.7,41,76.6,147.9,29.9,71.6,100.7
Indiana,26,43,60.4,22.9,36.3,53,40.9,73.7,129.5,37.8,84.3,63.1
Iowa,18.6,32.8,42.5,14.8,27.4,39.4,44.1,82.3,135.5,41.1,88.7,81.2
Kansas,25.5,42.5,55.4,20.5,33,46.9,36.2,70,133.5,46.1,94.3,96.4
Kentucky,32.4,52.6,68.8,31.8,39.5,65,36.1,68.1,115.1,43.8,108.8,26.9
Louisana,34.1,55.2,76,26.8,40.3,53,43.1,75.7,116.4,55,70.9,24.8
Maine,15.4,26,43.5,15.1,25.5,43.5,26,44.3,,,28.2,
Maryland,17,34.3,54.1,9.2,20.3,36.2,22.9,50.4,97.8,42.8,77.4,42.8
Massachusetts,9.4,21.4,37.5,4.8,13.8,25.2,14.1,36.1,97.2,31.9,86.1,114.2
Michigan,19.4,33.5,58.9,14.4,24.3,41,39.3,62.5,133.2,28.6,69.6,89.3
Minnesota ,13.7,27.9,37.3,9.3,18.1,29.1,28.3,69.5,163.3,32.2,91.6,101.2
Mississippi,34.8,70.1,85.3,28.5,53.9,59.3,41.9,86.7,116.7,43.8,107.8,
Missouri,25,44,64.4,22.4,37,51.3,37.4,72.3,148.7,35.1,82,65.4
Montana,25.3,35.3,46.8,19.2,28,38.5,,,,36.8,35,77.4
Nebraska,22,35.5,42.4,14.2,23.4,34.6,40.1,91.4,135.9,51.7,97.5,100.4
Nevada,27.6,51.7,74.5,19,31.1,60.8,43.5,62,141.2,35.4,85,107.6
New Hampshire,10.9,19.3,33.1,10.2,18.5,,,,,24.6,42.7,
New Jersey,12.1,24.9,41.3,4,8.7,18.3,21.8,48.6,106.4,28.6,59.2,81.9
New Mexico,34.6,63.9,79.5,20.6,36.7,51.2,22.5,57,107,40.7,80.2,99.6
New York,14.6,26,45.5,9,14.7,25.9,20,38.8,87.7,28.3,52.3,85.4
North Carolina,23.6,48,70,17.1,32.7,52.5,29.8,62.4,110.4,42.5,120.7,88.6
North Dakota,22.2,29.2,35.5,16.6,20.4,28.4,39.5,,,45.5,77.4,
Ohio,23.2,39.9,60.5,19.2,32.2,49,40.8,74.3,136.3,38.4,73.8,81.8
Oklahoma,34.8,58.5,72.1,30.6,48.8,61.7,37.1,70.1,129.8,51.6,93.1,90.3
Oregon,19,34.5,54.8,15.7,26.5,49.4,26.7,45.6,117.5,33,81.7,125
Pennsylvania,17.7,30.7,46.7,12.2,20.2,33,32.9,65.9,135.2,43.4,82.8,125.6
Rhode Island,14.3,29.2,44.7,9.3,16.6,33.1,17.5,57.4,146.3,34,74.9,106.6
South Carolina,26.2,51.9,72.5,22,37.6,54.3,32.8,67.6,103.2,35.1,127.6,60
South Dakota,26.4,41.3,47.6,16,26.1,35.4,,,,56.3,106.2,
Tennessee,30.5,53.4,74.8,26.6,43.4,62,40,73.8,127.9,49.1,134.7,42.7
Texas,34.6,61.8,78.4,20.9,34.2,49.7,34.3,63.7,118.9,47.6,91.7,108.5
Utah,17.6,35.4,48,13.2,24.9,44.2,23.4,61.5,48.2,38.6,99.6,101.3
Vermont,11.6,21,39.2,11.6,21.5,39.7,,,,,,
Virginia,17.1,34.2,53.4,13.5,24.1,40.7,24,52.5,98.5,31,74,60.4
Washington,17.6,33.3,53.7,13.2,24.3,46.8,21.9,42.8,98.9,36.3,84.4,121.3
West Virginia,31.9,45.8,58,32.6,46.1,57.6,27.4,51,82.6,26.3,40.8,
Wisconsin,16.2,31.1,43.7,10.1,19.3,30,47.2,87.9,180.8,34.1,84.5,91.7
Wyoming,29.2,49.9,54.3,26.8,41.6,49.9,,,,35.3,95.1,77.4
